time,delta,elbow_angle,elbow_velocity,elbow_torque
3.083,0.017,180.0,0.0,-2.2043642384652358E-17
3.099,0.016,180.0,0.0,-2.2043642384652358E-17
3.116,0.017,180.0,0.0,-2.2043642384652358E-17
3.132,0.016,180.0,0.0,-2.2043642384652358E-17
3.148,0.016,179.5,-6.25,-0.0015707763897073925
3.165,0.017,180.0,-0.3676470588235297,-2.2043642384652358E-17
3.181,0.016,180.0,-0.3676470588235297,-2.2043642384652358E-17
3.198,0.017,180.0,-0.3676470588235297,-2.2043642384652358E-17
3.214,0.016,180.0,-0.3676470588235297,-2.2043642384652358E-17
3.23,0.016,180.0,5.88235294117647,-2.2043642384652358E-17
3.247,0.017,180.0,0.0,-2.2043642384652358E-17
3.263,0.016,180.0,0.0,-2.2043642384652358E-17
3.279,0.016,180.0,0.0,-2.2043642384652358E-17
3.296,0.017,180.0,0.0,-2.2043642384652358E-17
3.312,0.016,180.0,0.0,-2.2043642384652358E-17
3.329,0.017,180.0,0.0,-2.2043642384652358E-17
3.345,0.016,180.0,0.0,-2.2043642384652358E-17
3.361,0.016,180.0,0.0,-2.2043642384652358E-17
3.378,0.017,180.0,0.0,-2.2043642384652358E-17
3.394,0.016,180.0,0.0,-2.2043642384652358E-17
3.41,0.016,180.0,0.0,-2.2043642384652358E-17
3.427,0.017,180.0,0.0,-2.2043642384652358E-17
3.443,0.016,180.0,0.0,-2.2043642384652358E-17
3.46,0.017,180.0,0.0,-2.2043642384652358E-17
3.476,0.016,180.0,0.0,-2.2043642384652358E-17
3.492,0.016,180.0,0.0,-2.2043642384652358E-17
3.509,0.017,180.0,0.0,-2.2043642384652358E-17
3.525,0.016,180.0,0.0,-2.2043642384652358E-17
3.542,0.017,180.0,0.0,-2.2043642384652358E-17
3.558,0.016,180.0,0.0,-2.2043642384652358E-17
3.574,0.016,180.0,0.0,-2.2043642384652358E-17
3.591,0.017,180.0,0.0,-2.2043642384652358E-17
3.607,0.016,180.0,0.0,-2.2043642384652358E-17
3.623,0.016,180.0,0.0,-2.2043642384652358E-17
3.64,0.017,180.0,0.0,-2.2043642384652358E-17
3.656,0.016,180.0,0.0,-2.2043642384652358E-17
3.673,0.017,180.0,0.0,-2.2043642384652358E-17
3.689,0.016,180.0,0.0,-2.2043642384652358E-17
3.705,0.016,180.0,0.0,-2.2043642384652358E-17
3.722,0.017,180.0,0.0,-2.2043642384652358E-17
3.738,0.016,180.0,0.0,-2.2043642384652358E-17
3.754,0.016,180.0,0.0,-2.2043642384652358E-17
3.771,0.017,180.0,0.0,-2.2043642384652358E-17
3.787,0.016,180.0,0.0,-2.2043642384652358E-17
3.803,0.016,180.0,0.0,-2.2043642384652358E-17
3.82,0.017,180.0,0.0,-2.2043642384652358E-17
